case,def_past,def_pres,def_fut,think_pas,think_pre,think_fut,import_pas_pre_fu,relation_pas_pre_fut,tbf1,tbf2,tbf3,tbf4,tbf5,tbf6,tbf7,tbf8,tbf9,aatas1,aatas2,aatas3,aatas4,aatas5,aatas6,aatas7,aatas8,aatas9,aatas10,aatas11,aatas12,aatas13,aatas14,aatas15,aatas16,aatas17,aatas18,aatas19,aatas20,aatas21,aatas22,aatas23,aatas24,aatas25,aatas26,aatas27,aatas28,aatas29,aatas30,sls1,sls2,sls3,sls4,sls5,sls6,sls7,pps1,pps2,pps3,pps4,pps5,pps6,pps7,pps8,pps9,pps10,pps11,pps12,gdms1,gdms2,gdms3,gdms4,gdms5,gdms6,gdms7,gdms8,gdms9,gdms10,gdms11,gdms12,gdms13,gdms14,gdms15,gdms16,gdms17,gdms18,gdms19,gdms20,gdms21,gdms22,gdms23,gdms24,gdms25,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,ysrs1,ysrs2,ysrs3,ysrs4,ysrs5,ysrs6,ysrs7,ysrs8,ysrs9,ysrs10,ysrs11,ysrs12,ysrs13.a,ysrs13.b,ysrs13.c,age,sex,race,income,edu,edu.father,edu.mother
110,"As something bad, which I still need to overcome in parts.","As something relatively positive since I'm doing reasonably well in school, but bad for some things.","An enigma perhaps, I cannot say.",4,3,3,5,4,3,3,4,1,2,1,3,3,3,3,4,2,3,3,5,3,3,2,3,2,5,3,3,4,3,3,4,3,3,2,3,3,1,3,4,5,3,4,3,3,1,4,4,3,4,3,5,5,5,5,5,2,4,4,4,4,4,4,1,3,2,5,3,1,3,4,2,3,5,5,3,5,1,5,4,3,5,1,4,3,3,1,5,2,1,2,0,2,0,1,2,1,3,-4,1,3,4,-3,-4,3,1,2,4,2,1,,,,17,2,1,2,3,3,3
111,"As a memory, they contribute with teaching for our present and future.","Like a gift, a gift.",As a hypothesis.,4,4,4,7,4,3,3,3,2,2,3,2,2,3,3,3,4,3,2,2,3,4,4,1,2,3,3,2,3,2,3,2,4,4,3,2,3,3,3,2,3,3,3,3,2,1,4,4,4,2,3,2,4,4,5,5,5,4,3,5,3,3,2,3,3,3,3,3,4,3,3,3,4,4,4,4,3,4,4,3,4,3,3,3,4,3,2,3,2,3,4,1,2,2,1,4,4,3,-4,3,4,4,-4,-4,4,4,3,4,4,3,beach cleaning,Research on global warming.,Attending lectures on the subject.,17,2,6,2,3,3,3
112,"Learning, teaching of life.",Complicated but important,,3,4,4,6,2,4,4,3,3,4,4,3,4,3,3,3,5,2,4,1,3,2,5,2,3,1,3,3,1,3,2,1,3,2,4,3,3,4,3,3,2,4,3,5,3,1,5,5,3,1,1,3,3,2,4,4,4,4,3,4,3,4,2,3,4,3,4,4,2,3,4,3,3,4,4,3,2,2,4,3,4,2,2,3,4,4,2,3,3,3,3,1,1,1,2,2,3,3,-4,3,4,4,-4,-3,3,4,4,4,3,1,,,,17,2,3,3,2,3,3
113,Apprenticeship,Set of choices that will remain in the past tomorrow and that I will learn from,an unknown,4,1,4,4,4,4,3,4,2,4,3,3,3,3,1,3,3,2,3,4,3,3,1,1,5,3,3,4,3,4,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,4,3,4,4,3,4,4,2,2,2,2,4,4,2,2,2,2,2,2,4,4,2,3,4,4,2,3,4,4,3,4,4,4,4,3,3,2,3,2,3,2,2,2,1,2,-4,0,4,2,-4,-4,4,4,4,4,2,2,,,,17,2,2,2,2,2,3
114,Something that has already happened has already been concluded.,"The things that happen at every moment, the present is defined in a few seconds, because it soon becomes the past.","Something that is yet to come, that will possibly happen.",4,4,4,6,2,2,4,4,2,4,1,3,1,2,5,3,5,1,3,1,4,3,5,1,2,2,5,4,1,1,3,1,4,3,5,1,3,5,1,4,1,4,2,5,4,1,4,3,3,3,3,2,2,2,4,4,5,4,4,4,2,3,1,3,3,2,2,4,3,3,4,2,2,4,3,3,2,2,5,2,2,2,2,4,3,3,2,2,2,1,2,3,3,4,1,1,2,1,-4,3,4,4,-4,-4,4,4,4,4,4,4,Use sustainable products,transportation question,Caring for and encouraging the planting of trees,17,1,6,2,2,2,2
115,"Moment left behind, but that leaves future marks.","Moment that must be seized, and as the name says ""gift"", a gift.",Something that will be defined by choices made in the present.,4,4,4,6,4,4,3,4,3,4,2,3,3,3,5,3,5,4,4,2,3,3,2,1,4,2,3,4,1,2,4,1,5,1,4,1,1,4,1,4,1,4,3,4,5,3,4,2,4,3,1,4,4,4,4,4,4,5,4,4,4,4,2,5,5,1,2,4,3,3,5,5,2,5,4,3,2,2,4,3,4,3,2,4,4,5,2,2,1,1,2,3,3,3,3,3,2,2,-4,4,4,3,-4,-3,-3,3,3,3,3,0,I'm not involved,,,17,1,1,2,2,2,4
116,Necessary preparation for individual evolution,Test on everything that was learned in the past,Part that you want to reach with faith in the decisions taken in this,4,4,4,7,4,4,4,4,3,4,4,3,4,4,4,3,3,1,3,3,4,3,4,1,3,4,5,3,5,1,3,4,4,3,3,2,2,3,2,3,3,4,2,3,3,2,4,3,4,3,3,2,4,4,4,4,4,3,4,4,2,2,2,3,4,2,3,4,3,3,4,4,3,4,4,4,3,3,4,3,3,3,2,4,4,3,3,2,3,3,3,3,3,3,2,2,3,1,2,4,2,3,-2,-4,4,4,3,2,4,4,Garbage collections at var,Use of bicycle as a means of transport.,,17,1,2,1,2,2,4
117,"Difficult, complicated, and even today it's still early.",Complicated more compared to the past is much better. Conquering my dreams.,Conquering my dreams,4,4,3,7,2,4,4,3,2,1,3,3,4,3,5,3,4,1,1,1,5,3,3,1,3,4,5,3,3,1,4,3,5,3,3,3,3,1,3,3,5,5,4,3,3,5,5,4,1,4,1,1,4,1,5,5,1,1,5,1,1,1,5,5,1,1,5,4,5,5,5,5,5,5,5,3,3,1,5,2,5,1,1,5,3,5,5,1,2,2,3,2,2,2,1,3,3,3,-4,2,4,4,-4,-4,4,4,4,4,3,0,Recycle the garbage,,,17,2,1,1,2,2,3
118,Important events for the future in weight.,What will define the future according to the decisions,,3,3,4,6,3,3,2,3,1,3,4,2,3,1,3,5,2,2,5,3,2,5,3,1,3,4,3,3,2,3,3,4,3,3,2,1,3,2,1,3,2,4,4,2,2,1,5,5,3,2,2,2,2,2,4,4,4,4,4,4,2,2,2,5,2,2,2,4,2,2,3,4,4,5,4,2,2,2,5,1,3,2,2,4,4,2,2,2,2,4,4,3,3,1,1,3,3,4,-3,3,4,4,-4,-3,1,1,3,3,2,2,,,,17,2,3,2,3,3,2
119,"Things I've experienced and that bring me feelings of anger, anguish, longing and happiness.",Moments that I'm living and that each bring me lessons and provoke changes in me.,"Moments that I will experience, a period of time that makes me wonder if what I am doing in the present is worth it.",4,4,3,4,3,2,2,2,1,3,1,3,2,1,3,3,4,3,3,2,2,5,4,4,2,1,2,3,2,4,2,3,1,3,4,5,3,4,2,4,2,1,5,4,2,1,4,3,4,3,4,4,3,2,5,5,5,5,5,5,4,3,2,2,3,3,4,3,3,4,3,4,3,5,4,4,4,2,4,5,3,3,2,3,4,2,2,2,4,4,4,1,2,1,1,3,3,4,-4,2,3,3,-4,-4,2,4,2,2,2,3,I think it's important but,"nothing, I just do basic things like avoiding using","plastic, don't litter the dog, etc.",17,2,6,2,2,,3
120,"Like a moment that has passed, it stays in memory and does not define us.","Like a moment that must be made the most of, because every second the present becomes the past.","Like an uncertain moment, we always plan for the future, but we never know if it will arrive.",4,4,4,6,4,1,1,4,1,1,1,1,1,1,5,1,5,1,5,1,4,3,5,1,2,1,5,3,1,1,2,1,5,1,5,1,1,5,1,5,1,5,3,5,5,5,1,1,5,5,5,2,3,3,4,1,4,4,4,4,4,4,4,3,4,2,2,5,3,3,5,3,3,3,5,3,3,4,4,2,2,2,2,3,3,4,3,1,0,2,3,2,2,3,2,2,4,0,0,4,4,4,-4,-4,4,4,4,4,4,4,,,,17,2,2,3,2,3,4
121,unalterable period,Period under construction and therefore changeable.,"Period, theoretically, non-existent, unknown.",4,4,4,5,4,2,1,2,1,1,1,,1,2,4,2,5,2,,2,1,4,4,1,,2,1,,2,1,2,1,1,,4,2,,2,2,,2,2,4,4,,1,4,2,4,2,2,4,2,4,4,2,4,4,4,5,2,2,4,2,2,2,5,4,4,4,4,4,2,4,4,2,2,2,4,4,2,2,2,4,4,2,1,2,3,3,3,2,2,3,2,4,3,3,-4,1,4,3,0,-4,3,3,3,1,3,2,Participation in a scienti,Consumption reduction / smart consumption,"Conducting a course focused on environmental issues, to study solutions for major environmental problems",17,2,3,3,3,3,3
122,"A time that is gone, but sometimes it is present in our lives. This is where we can go wrong.",The moment where we are now. We must have learned many things by now.,A time to come. We shouldn't make the same mistakes because we've already learned from them.,4,4,4,7,3,4,5,5,2,5,3,3,5,4,4,2,5,1,3,2,1,3,4,1,3,4,2,4,4,2,5,2,5,2,4,3,2,3,1,4,4,4,2,4,4,1,4,3,4,3,3,4,4,4,5,5,5,5,5,5,5,5,3,3,3,2,2,4,3,3,5,3,3,4,5,3,5,4,4,5,3,3,2,4,5,5,1,3,4,3,2,2,4,2,1,4,0,0,-4,4,4,4,-4,-4,4,3,4,4,4,4,Research project in the ar,Volunteer project that visits shelters.,Volunteer project on a community library.,17,2,2,2,3,5,5
123,As something that can teach how to act in the present and in the future.,As something to be enjoyed,"Something to be planned moderately, without ending up losing the present.",,,4,7,4,3,4,4,1,4,1,4,4,3,4,2,4,1,4,3,4,3,2,1,4,3,4,4,3,2,4,3,4,2,3,1,2,3,2,4,2,4,3,4,4,2,4,2,4,3,3,2,2,4,4,4,4,4,4,4,3,3,2,3,3,2,4,4,4,2,4,3,4,4,3,2,4,2,4,4,3,3,2,3,4,4,1,2,2,3,3,2,1,2,1,3,3,3,-4,3,4,2,-4,-4,3,3,2,3,4,4,,,,17,2,1,3,3,4,4
124,My definition of my past is a good way to go.,My gift defines me very well,I define a future much better than today.,2,4,3,2,2,5,5,2,5,5,5,5,2,5,3,2,5,2,5,2,5,4,3,4,4,4,2,4,2,4,4,2,4,2,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,3,4,2,4,2,,2,4,4,2,4,2,4,4,4,2,4,2,4,4,2,4,4,2,4,4,2,2,4,2,4,2,4,2,4,2,3,1,3,2,2,3,2,3,4,-4,4,4,-4,4,-4,4,-4,-4,4,-4,4,,,,17,1,1,1,3,4,4
125,something that has passed,Present is the now where we can make our future.,The future is water is yet to come.,3,4,4,7,3,4,3,3,2,4,2,3,3,4,4,2,5,3,4,1,3,2,4,1,4,2,3,2,2,4,4,1,3,3,5,3,2,4,1,5,1,3,1,4,3,1,2,3,3,3,2,1,2,4,2,1,1,2,3,4,2,3,1,3,4,1,2,5,2,1,4,4,4,4,4,2,2,1,5,2,4,4,2,5,4,4,2,3,2,3,2,2,1,2,2,1,3,3,-4,2,4,4,-3,-4,-3,2,2,4,2,2,Recycle,Selective garbage and reusable collection.,,17,1,1,1,3,2,4
126,"It was a simpler time, nowadays I think about it with melancholy.","Okay, could be better.","I try not to have very high expectations, but I hope it will be more relaxed compared to today's times.",3,4,4,6,3,3,2,4,1,2,3,4,2,3,5,3,3,1,3,2,4,3,3,1,2,4,4,2,3,2,3,1,4,3,3,2,3,2,2,3,3,4,4,3,3,2,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,3,2,4,4,2,4,5,4,4,4,4,4,4,4,4,5,2,4,4,4,3,3,4,4,4,4,3,3,4,3,2,3,3,1,2,3,2,-4,3,4,4,-1,-4,-1,4,2,3,2,2,,I don't even have time for myself.,,17,2,2,2,3,3,1
127,Sad,exhausting.,In a pessimistic way.,4,4,4,6,4,1,3,3,1,3,4,3,2,1,3,5,3,5,1,4,3,5,2,1,1,5,2,1,5,4,2,5,3,5,2,5,5,2,1,1,5,2,5,2,2,1,5,5,3,1,2,4,5,5,3,3,2,1,1,5,2,2,1,4,3,1,4,5,1,1,5,3,3,5,3,2,1,3,5,1,4,3,1,5,1,5,1,1,4,4,4,1,2,0,0,4,4,4,-4,4,4,4,-4,-4,4,4,4,4,4,4,,,,17,2,2,2,3,3,2
128,"A learning so that, in the course of life, I can mature.","Possibility of building bonds and discovering myself, since it is a very important phase in my life.",Something uncertain but that I'm building little by little and doing my best to achieve my goals.,4,3,4,4,4,2,,4,3,4,3,4,3,2,5,3,4,2,3,2,3,2,4,2,3,3,3,3,4,4,3,3,4,3,4,4,3,4,2,3,4,3,2,4,4,2,5,4,4,4,3,4,2,5,5,2,4,4,5,5,3,2,3,2,2,1,4,5,5,3,4,2,4,5,4,2,4,5,5,3,4,3,3,4,4,4,1,3,3,4,4,2,0,1,1,4,4,3,-3,4,4,4,-4,-3,3,4,4,3,2,3,Recycling,Educating my own parents (lol),Participation in solidarity events that are concerned with the environment and recycling.,17,2,3,3,3,3,4
129,"I define the past as a decisive environment for my attitudes today and some regrets, but a lot of learning.","I define the present as life itself, because we have no other moment.","I define the future as very uncertain, doubtful territory, which often causes a lot of anguish.",3,4,4,6,2,2,1,3,4,3,2,2,2,3,4,2,5,,3,1,3,5,5,1,4,3,4,3,3,3,5,2,4,2,5,3,1,5,1,4,4,3,1,5,4,2,3,3,4,3,3,2,5,3,4,4,5,5,4,4,2,3,4,4,4,2,2,5,3,4,5,3,5,4,4,3,2,3,4,3,4,3,3,4,4,3,3,4,2,3,2,2,3,2,2,3,3,1,-4,4,2,4,-3,-4,2,4,1,2,-2,2,Don't use too many plastic,Do not throw rubbish on the floor.,Avoid wasting water,17,,2,4,3,4,4
130,Facts that happened based on past decision-making.,What is happening right now.,Something that's going to happen based on the decisions we've made now.,4,3,4,4,2,3,4,4,1,4,1,4,3,1,5,3,4,3,3,2,4,4,3,1,3,3,4,3,2,1,3,3,4,,,,,,,,,4,5,3,3,2,3,1,3,3,1,3,2,2,2,1,2,2,3,1,2,2,3,3,4,3,1,5,2,3,3,4,1,3,4,4,1,2,4,4,2,2,2,3,4,1,4,2,0,3,3,3,2,3,2,1,4,1,3,0,3,0,-2,4,3,3,4,2,0,2,,,,17,1,1,2,2,3,4
131,The moment we lived and that many times we learned a lesson from that moment.,It's the moment we live now and that will become the past one day.,The moment we're still going to live and we don't know what will happen.,4,1,4,4,3,3,3,4,2,3,4,3,4,3,3,5,3,2,3,1,3,5,4,3,3,4,2,3,5,4,3,4,2,3,2,4,2,2,4,3,4,2,3,3,2,2,5,5,2,1,1,4,4,5,4,5,3,5,4,4,3,3,2,2,3,4,4,4,5,4,2,4,3,4,2,4,3,4,4,3,1,3,4,3,4,4,4,3,3,4,4,1,2,2,2,3,4,3,0,1,1,3,-3,-3,3,2,1,1,0,1,Recycling,Using public transport instead of a car.,,17,1,2,1,2,4,4
132,"The before, everything that has passed, in which you must learn from mistakes and successes.","The now, where all actions matter and where the consequences of the past are lived.","The after, where you will live the consequence of all your choices, something you only idealize.",3,2,4,4,4,4,4,4,3,2,2,3,2,3,4,5,5,3,2,2,3,5,5,3,2,1,2,1,2,3,3,2,3,4,5,2,4,5,4,3,3,3,4,4,2,1,5,3,4,3,3,4,2,4,4,3,3,4,4,5,5,5,2,3,3,3,1,4,3,3,4,3,1,5,4,1,2,2,4,4,4,1,1,4,4,4,1,3,3,4,4,1,1,0,0,4,4,0,-4,4,4,4,-4,-4,4,4,4,1,4,2,,,,17,2,2,2,3,3,3
133,"Past is what has already happened, what has already been lived.","Present is the moment of now, the snapshot.",Future is what will still be lived,3,4,4,6,3,2,3,4,1,3,1,3,1,2,5,2,5,1,4,1,5,2,3,1,4,3,5,4,1,1,4,5,5,2,5,1,1,4,1,4,5,5,3,5,4,1,5,4,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,1,3,4,5,3,5,4,1,5,5,2,2,2,5,5,5,3,1,5,5,5,1,5,2,2,0,3,2,4,0,4,4,1,-4,4,4,4,-4,3,4,4,4,1,4,4,I don't throw trash on the,,,17,1,2,3,3,2,2
134,As something that has passed/happened,The period of time I enter myself at this very moment.,Something that is about to happen or expected to happen.,4,3,4,3,4,4,4,4,3,1,3,3,4,1,5,4,3,3,2,2,4,4,3,1,2,3,4,2,4,1,3,4,4,3,4,2,1,3,3,1,4,5,5,5,4,4,1,5,3,4,3,3,2,4,5,4,2,4,5,3,4,2,2,4,5,4,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,-1,Stop throwing garbage on t,Decrease plastic consumption,"If the route allows, walk instead of driving.",17,2,2,2,3,3,3
135,Sequence of events that occurred.,Current moment being lived.,Sequence of events that will still happen.,2,4,3,7,3,4,3,3,2,2,4,4,3,4,4,2,3,1,4,3,4,2,4,1,2,3,3,3,,2,4,1,4,2,3,2,2,3,2,4,2,4,2,3,4,2,4,2,4,4,3,2,2,2,4,3,4,2,4,2,2,2,2,4,4,2,2,4,1,2,1,2,2,4,1,1,1,1,4,1,1,1,1,4,2,1,1,1,0,0,2,3,3,3,0,2,0,0,-4,3,4,3,-4,-4,2,3,4,2,2,1,,,,17,1,1,2,3,4,3
136,Actions that happen before the now.,Actions that are being carried out now.,Actions that will occur after the now.,4,4,4,6,4,4,2,4,1,4,4,4,4,4,5,1,5,2,5,1,2,2,4,1,4,2,4,3,2,2,4,2,2,5,1,1,5,1,5,1,4,2,5,5,3,4,2,4,2,3,2,2,2,4,5,4,4,4,3,2,1,1,2,2,2,3,5,3,2,2,4,4,2,4,5,2,3,,2,2,4,2,2,4,4,4,2,4,1,0,3,2,3,3,1,0,3,0,-2,3,4,4,-4,-4,4,4,4,4,2,2,Recycling,,,17,1,2,2,3,5,4
137,"Like a book of lessons, good or bad, they are immutable, but they must be understood and absorbed.",Like the life.,Like the relationship of what I do in the present based on the past.,4,4,3,4,4,3,2,4,2,4,4,1,3,4,2,4,2,4,1,4,1,3,3,2,2,3,1,5,3,4,4,4,2,4,3,2,2,1,2,1,4,4,4,4,4,4,1,5,2,3,3,4,4,3,3,4,4,4,3,4,2,2,2,1,3,4,3,3,2,4,4,3,3,4,5,4,4,2,4,3,4,3,3,3,4,3,2,4,1,0,2,2,2,3,2,1,0,0,-4,0,4,3,-2,-4,-3,1,3,3,1,1,,,,17,1,2,3,3,4,4
138,"I define the past as a road traveled, experiences already lived that were essential for my growth as a person and in maturity. T","Moment in which it is defined as a consequence of the past. I define it as OPPORTUNITY, a moment to take advantage of and seek t","Time to harvest the fruits, planning and construction.",4,4,4,6,4,4,2,3,2,1,2,3,2,2,3,1,4,2,5,2,3,4,4,1,3,2,3,4,2,2,3,1,4,2,4,2,2,4,1,4,3,3,3,4,4,2,4,5,4,1,1,1,2,2,3,4,4,3,3,4,4,3,3,4,3,1,1,5,4,2,5,4,2,5,5,5,2,4,5,1,4,3,4,5,5,5,4,2,2,2,2,2,3,2,1,1,2,3,-4,4,1,1,-1,-4,3,1,1,3,3,3,None :(,,,17,1,2,2,3,3,3
139,"Something that at the same time can be useful, teaching valuable things and can also be something that holds you back to bad tho",Something that we build our personality.,"Something we should worry about, but not excessively so as not to cause anxiety.",4,4,3,5,3,3,2,3,3,3,3,3,2,3,4,4,3,3,3,4,3,4,3,2,3,4,3,4,5,3,4,4,3,3,3,2,3,3,3,4,4,4,4,3,4,2,4,4,4,3,2,2,3,4,2,3,4,4,4,4,3,2,2,4,4,3,2,4,2,4,4,4,2,4,4,4,3,2,4,4,3,2,2,3,4,3,3,2,3,2,3,2,2,2,1,2,2,3,-2,1,2,3,-3,-3,2,3,2,2,1,0,,,,17,1,2,3,3,3,5
140,Set of events that resulted in the present and cannot be transformed (changed).,The set of events that are still transformed by my actions.,The result of my actions; the consequence of my actions.,4,4,4,6,4,2,3,4,3,4,5,5,4,3,5,1,5,1,5,1,5,1,5,1,5,5,5,2,2,3,1,5,1,5,2,1,4,1,5,4,5,2,5,5,4,4,1,5,2,5,4,4,4,4,4,3,4,4,4,3,3,2,4,3,4,2,5,4,4,4,2,4,3,4,3,3,2,2,4,3,3,2,3,4,4,3,4,2,1,1,1,2,2,3,3,2,2,1,-4,3,4,4,-4,-4,2,3,4,4,4,3,I reuse materials.,Recycling.,I take care of a home garden.,17,1,1,2,3,3,2
141,"A calmer, less tiring, less demanding time, a time when I would come back and change a lot.","Anxiety, a lot of pressure, as if my whole life depended on each thing and step I take now.","Like something expected, where I'm going to really start to see the fruits of what I'm doing now, of all the sacrifices, but I d",2,4,3,7,4,2,2,2,2,3,3,4,3,3,5,1,4,1,4,1,3,2,4,2,3,4,2,,3,4,,4,2,4,4,3,2,4,1,4,4,4,5,4,4,2,4,3,5,3,4,2,2,2,3,2,3,3,3,4,2,2,2,4,2,3,3,4,2,3,3,3,2,4,4,2,3,2,3,4,4,2,2,3,4,3,2,2,2,3,4,1,1,1,2,2,4,2,-4,4,4,4,-4,-4,4,4,4,4,4,4,Individual selective colle,Individual reduction of plastic consumption.,,17,2,5,3,3,4,4
142,Set of events that shape us.,Actions being carried out.,The space where you shape your goals.,4,4,4,2,3,3,3,3,4,4,4,4,3,3,4,1,5,1,5,1,4,2,5,2,4,2,5,5,1,2,5,1,5,1,5,1,1,5,1,4,1,5,2,5,5,4,5,3,4,2,3,2,2,2,2,2,2,2,2,3,2,2,2,4,4,2,2,4,4,4,4,4,3,4,5,4,1,2,5,2,4,2,2,5,5,5,2,1,2,1,2,3,3,3,3,2,2,1,-4,1,4,3,-4,-3,4,4,4,3,4,2,Recycling,use bike,,17,1,2,2,3,4,4
143,"What has already happened, what makes us who we are today.",What is happening.,What will still happen.,4,4,4,7,4,2,2,4,3,3,3,3,4,3,4,2,5,3,5,1,3,2,4,2,2,2,3,4,2,2,4,2,4,2,4,2,1,4,5,2,4,2,4,4,3,3,3,5,3,5,2,3,3,4,3,4,3,3,4,2,3,4,4,4,2,3,4,2,3,5,3,2,4,4,3,3,2,4,3,4,3,2,4,4,5,2,3,2,2,1,3,3,2,2,2,2,2,0,-3,1,4,4,-2,-4,2,2,2,0,2,2,Separate recycled waste at,,,17,1,2,3,3,3,3
144,something that already happened,Something that happens now.,Something that is yet to happen,3,4,4,6,4,2,4,4,2,2,4,3,4,3,4,2,4,3,4,2,4,2,4,1,4,2,4,4,2,2,4,2,4,2,4,2,2,3,2,4,2,4,2,3,4,2,4,4,4,2,3,2,2,4,4,4,4,4,3,2,2,2,3,4,4,2,3,4,4,4,4,4,2,4,4,4,2,2,4,3,4,2,2,4,4,2,3,2,1,0,2,2,3,2,1,2,2,1,-2,1,3,3,-3,-1,3,3,3,3,3,1,,,,17,1,3,2,3,2,5
145,something that already happened,The now,"Something that is guided, but not imaginable.",3,4,4,6,4,4,2,3,1,5,3,4,3,4,4,2,4,3,4,1,3,2,5,2,3,3,3,4,1,1,4,2,4,1,5,,2,3,3,4,2,3,1,3,5,3,4,2,4,2,4,1,2,3,4,1,3,2,2,4,2,1,1,4,4,4,1,4,2,4,3,1,1,3,3,4,1,1,5,1,2,2,1,5,4,1,2,2,1,0,1,4,4,3,3,0,2,1,-4,1,3,4,-3,-4,2,4,0,3,1,-1,,,,17,1,2,3,3,3,3
146,Like something that has no return and that has passed and is incorrigible.,"Like the moment we are living, where we make our choices.","As a result of your actions, what is yet to come.",3,4,4,2,4,4,4,4,4,3,3,4,4,3,5,1,5,1,5,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,5,2,1,4,2,5,2,4,4,4,5,3,2,1,5,4,2,3,2,2,4,3,4,4,4,3,3,2,2,3,4,4,2,5,2,3,2,4,3,4,3,4,4,2,5,2,3,3,2,5,4,2,2,1,0,1,2,3,3,3,2,1,1,0,-4,2,-3,3,-3,-1,4,3,0,2,1,2,Reduction of waste and dis,reduce pollution,Reuse water.,17,1,2,4,3,4,4
147,"It's what I can't change, it's learning, it's memories. Everything that made me who I am today.",It is what must be lived to the fullest in the best possible way.,It's an ongoing quest.,4,4,4,2,4,3,1,2,2,1,2,1,3,4,4,2,4,2,5,1,3,2,4,2,5,1,4,4,3,3,3,1,3,1,3,3,1,3,2,5,3,3,5,4,5,2,4,1,5,3,3,3,2,4,5,3,4,4,4,4,3,2,1,3,4,2,3,4,3,4,3,2,2,4,4,4,3,4,3,4,4,3,3,4,5,2,2,4,0,2,3,2,3,3,3,2,2,0,-4,4,4,4,-3,-4,2,4,2,2,2,3,Do not throw garbage on th,Use metal straw,,17,1,2,3,3,3,4
148,Past actions and decisions.,An improved form of the past. Decisions and everyday actions.,Fruit of the actions of the present.,4,4,4,5,3,4,3,4,3,3,3,5,3,4,5,2,5,5,4,1,4,4,3,4,3,3,4,3,1,1,3,2,5,3,3,2,3,3,2,4,4,5,2,4,3,3,5,4,4,3,3,4,4,4,4,4,4,2,5,5,5,5,5,4,4,3,2,4,4,3,4,4,3,2,4,3,4,4,3,3,4,4,4,3,4,4,3,4,1,2,1,1,2,3,2,2,1,1,-3,2,2,3,-3,-2,1,3,3,3,0,0,I reduce plastic consumpti,I dispose of it in an appropriate place.,,17,1,1,2,3,2,3
149,"The past is everything we've been through, what formed us.","It is the now, the period in which we are situated.","What is to come, what we do in the present will influence the future.",4,4,4,7,4,4,4,5,3,3,4,3,4,4,5,2,5,1,5,3,4,2,5,5,5,2,4,5,2,2,4,1,5,1,4,1,1,3,4,4,1,4,2,4,4,3,3,3,4,3,3,2,2,2,2,3,3,4,2,2,2,2,2,4,4,1,1,5,2,4,4,4,2,4,4,4,3,2,4,2,5,,2,4,3,4,3,2,2,2,3,3,2,3,2,2,2,2,-4,3,4,4,-4,-4,3,4,3,4,3,2,,,,17,1,1,1,3,3,3
150,Set of facts that have already happened (it was already our present (and today is just a memory.,The moment we are in is actually a constant that is updated at all times.,Predictions and expectations we have of what will happen based on our present and past.,4,4,4,6,3,3,3,4,2,4,2,3,3,4,4,3,5,2,4,2,3,2,5,1,4,2,3,4,2,1,4,2,4,2,4,2,2,3,2,4,2,4,2,4,4,2,3,4,4,3,2,2,3,2,4,4,4,4,4,2,2,2,2,4,2,2,2,5,2,4,4,3,3,5,4,4,2,1,5,1,4,2,1,5,4,4,3,2,1,1,2,3,3,3,3,2,2,1,-4,3,4,4,-4,-3,4,4,3,3,2,1,,,,17,1,3,2,3,3,4
151,Something that has already happened but we must always remember so that we can evolve as a person.,Something that can define the future.,Something unpredictable.,3,4,4,7,3,3,3,3,2,3,3,3,2,3,4,3,3,3,3,2,3,2,3,1,3,2,3,3,1,1,4,4,3,2,4,2,3,3,1,3,1,3,1,3,4,2,4,4,4,2,5,2,2,2,4,3,3,4,4,4,3,3,2,3,3,2,3,4,2,3,5,3,2,5,5,3,3,3,4,3,3,3,2,4,5,5,2,3,2,2,3,2,2,2,3,2,3,2,-4,4,4,4,-4,-4,4,4,4,4,4,4,none at the moment,,,17,1,6,2,3,2,2
152,I hope to look back and be proud one day.,I really hope it's better than my past.,I really hope it's better than my past and present.,3,4,4,6,2,4,4,4,2,2,2,3,3,2,5,4,4,3,3,3,4,4,4,5,2,2,3,2,4,4,4,2,3,3,4,3,3,3,1,3,3,3,4,4,3,1,5,5,4,1,4,5,4,5,5,3,5,5,5,5,5,4,3,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,4,4,2,2,1,0,3,4,4,-4,4,4,4,-4,-4,4,4,4,4,4,4,I avoid throwing garbage i,I make people aware not to pollute,Sports practice.,17,1,6,4,2,3,3
